"","X","lat","long","postal","x","y","address"
"28",29,1.3496223524908,103.849881699197,570512,29843.2900661305,36859.9049353898,"512 BISHAN STREET 13 HDB BISHAN BRANCH SINGAPORE 570512"
"29",30,1.35728842987328,103.843790117762,570279,29165.3615084952,37707.5768905357,"279 BISHAN STREET 24 DBS NTUC BISHAN STREET 24 SINGAPORE 570279"
"30",31,1.3478007201456,103.849316086687,570116,29780.3450396033,36658.477708688,"116 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570116"
"31",32,1.35479436177561,103.830924910072,574408,27733.6119945189,37431.7931836937,"301 UPPER THOMSON ROAD DBS THOMSON BRANCH SINGAPORE 574408"
"32",33,1.35184499157062,103.836053648292,574424,28304.3823553799,37105.6669188309,"200 UPPER THOMSON ROAD THOMSON IMPERIAL COURT SINGAPORE 574424"
"33",34,1.33361936151806,103.850978678264,310181,29965.3843324175,35090.3768303227,"181 LORONG 4 TOA PAYOH SINGAPORE 310181"
"34",35,1.331999623417,103.857378530285,310260,30677.6227089753,34911.2805047724,"260 KIM KEAT AVENUE DBS KIM KEAT AVENUE SINGAPORE 310260"
"35",36,1.33161683347176,103.850623695196,310192,29925.8799826652,34868.9472487252,"192 LORONG 4 TOA PAYOH DBS NTUC TOA PAYOH LORONG 6 SINGAPORE 310192"
"36",37,1.33285542884681,103.847092284316,310500,29532.8697974812,35005.9023080505,"500 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310500"
"37",38,1.33904479783226,103.85554106336,310004,30473.1246742541,35690.2979533542,"4 LORONG 7 TOA PAYOH KIM KEAT COURT SINGAPORE 310004"
"38",39,1.32021100706836,103.843656761867,307683,29150.5377937378,33607.7451104429,"238 THOMSON ROAD DBS NOVENA MRT STATION SINGAPORE 307683"
"39",40,1.31617741789614,103.837814972835,309426,28500.40508225,33161.7296019066,"36A DUNEARN ROAD CHANCERY COURT SINGAPORE 309426"
"40",41,1.32114652933088,103.841550400671,307645,28916.1202203268,33711.1894861516,"275 THOMSON ROAD NOVENA REGENCY SINGAPORE 307645"
"41",42,1.32694504456951,103.846554377679,329984,29473.0098957308,34352.36196642,"20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984"
"42",43,1.32044103104797,103.844192628979,307506,29210.1744085718,33633.1802354679,"10 SINARAN DRIVE NOVENA MEDICAL CENTRE SINGAPORE 307506"
"43",44,1.32525301846661,103.850995830211,329783,29967.2997812312,34165.2694751974,"360 BALESTIER ROAD SINGAPORE 329783"
"44",45,1.32044103104797,103.844192628979,307506,29210.1744085718,33633.1802354679,"10 SINARAN DRIVE NOVENA MEDICAL CENTRE SINGAPORE 307506"
